b'2019-04-13 14:21:32,655 [I]    thread_c2: Starting'
b'2019-04-13 14:21:34,114 [I]    thread_c2: Update score pbox[1][6] + 0.3333333333333333 = 0.3333333333333333'
b'2019-04-13 14:21:34,114 [I]    thread_c2: Update score pbox[1][7] + 0.3333333333333333 = 0.3333333333333333'
b'2019-04-13 14:21:34,122 [I]    thread_c2: Update score pbox[1][8] + 0.3333333333333333 = 0.3333333333333333'
b'2019-04-13 14:21:34,122 [I]    thread_c2: Update score pbox[1][9] + 0.3333333333333333 = 0.3333333333333333'
b'2019-04-13 14:21:34,122 [I]    thread_c2: Update score pbox[1][10] + 0.3333333333333333 = 0.3333333333333333'
b'2019-04-13 14:21:34,122 [I]    thread_c2: Update score pbox[1][11] + 0.3333333333333333 = 0.3333333333333333'
b'2019-04-13 14:21:34,122 [I]    thread_c2: Update score pbox[1][12] + 0.3333333333333333 = 0.3333333333333333'
b'2019-04-13 14:21:34,123 [I]    thread_c2: Insert PandoraBox [1][13] + 0.3333333333333333 = 0.3333333333333333'
b'2019-04-13 14:21:34,123 [I]    thread_c2: Last update 1 pbox[4] = 5'
b'2019-04-13 14:21:34,123 [I]    thread_c2: Update score pbox[4][6] + 0.3333333333333333 = 1.6666666666666665'
b'2019-04-13 14:21:34,123 [I]    thread_c2: Update score pbox[4][7] + 0.3333333333333333 = 1.3333333333333333'
b'2019-04-13 14:21:34,123 [I]    thread_c2: Update score pbox[4][8] + 0.3333333333333333 = 1.3333333333333333'
b'2019-04-13 14:21:34,123 [I]    thread_c2: Update score pbox[4][9] + 0.3333333333333333 = 1.6666666666666665'
b'2019-04-13 14:21:34,123 [I]    thread_c2: Update score pbox[4][10] + 0.3333333333333333 = 0.3333333333333333'
b'2019-04-13 14:21:34,123 [I]    thread_c2: Update score pbox[4][11] + 0.3333333333333333 = 0.3333333333333333'
b'2019-04-13 14:21:34,124 [I]    thread_c2: Update score pbox[4][12] + 0.3333333333333333 = 0.3333333333333333'
b'2019-04-13 14:21:34,124 [I]    thread_c2: Insert PandoraBox [4][13] + 0.3333333333333333 = 0.3333333333333333'
b'2019-04-13 14:21:34,130 [I]    thread_c2: Last update 1 pbox[5] = 13'
b'2019-04-13 14:21:34,131 [I]    thread_c2: Insert PandoraBox [5][13] + 0.3333333333333333 = 0.8333333333333333'
b'2019-04-13 14:21:34,132 [I]    thread_c2: Last update 2 pbox[1] = [13, 0.3333333333333333]'
b'2019-04-13 14:21:34,133 [I]    thread_c2: Last update 2 pbox[4] = [13, 0.3333333333333333]'
b'2019-04-13 14:21:34,133 [I]    thread_c2: Last update 2 pbox[5] = [13, 0.3333333333333333]'
b'2019-04-13 14:21:34,134 [I]    thread_c2: Exiting'
